127.0.0.1 - - [04/Jun/2021:17:50:58 -0300] "GET / HTTP/1.1" 404 763
192.168.0.103 - - [04/Jun/2021:17:53:16 -0300] "GET /Servicetomagem/services/UsuarioDAO?wsdl HTTP/1.1" 404 793
192.168.0.103 - - [04/Jun/2021:17:53:17 -0300] "GET /favicon.ico HTTP/1.1" 404 762
192.168.0.103 - - [04/Jun/2021:17:53:26 -0300] "GET /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 12123
192.168.0.103 - - [04/Jun/2021:18:30:07 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [04/Jun/2021:18:57:54 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [04/Jun/2021:18:59:00 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [04/Jun/2021:19:01:59 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [04/Jun/2021:19:02:05 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.103 - - [04/Jun/2021:19:02:05 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [04/Jun/2021:19:59:29 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [04/Jun/2021:20:00:27 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [04/Jun/2021:20:07:40 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.101 - - [04/Jun/2021:21:52:38 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [04/Jun/2021:21:57:29 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [04/Jun/2021:21:57:34 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 329
192.168.0.103 - - [04/Jun/2021:21:57:34 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [04/Jun/2021:21:59:27 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
