127.0.0.1 - - [14/Jul/2021:11:33:07 -0300] "GET / HTTP/1.1" 404 763
192.168.0.104 - - [14/Jul/2021:11:33:26 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.104 - - [14/Jul/2021:11:33:26 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:11:33:27 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:11:34:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:11:34:24 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:11:34:24 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:13:16:53 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:13:16:53 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:13:16:53 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:13:27:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:13:27:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:13:27:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:13:33:50 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:13:33:50 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:13:33:50 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:14:29:06 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:14:29:06 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:14:29:06 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:14:40:32 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:14:40:32 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:14:40:32 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:14:54:03 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:14:54:03 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:14:54:03 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:14:56:00 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:14:56:00 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:14:56:00 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:15:01:12 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:15:01:12 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:15:01:13 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [14/Jul/2021:15:01:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 500 390
192.168.0.104 - - [14/Jul/2021:15:01:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.104 - - [14/Jul/2021:15:01:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
