127.0.0.1 - - [03/Oct/2021:16:39:32 -0300] "GET / HTTP/1.1" 404 763
192.168.0.105 - - [03/Oct/2021:16:47:25 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.105 - - [03/Oct/2021:16:47:25 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.105 - - [03/Oct/2021:16:47:25 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.105 - - [03/Oct/2021:16:55:24 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.105 - - [03/Oct/2021:16:55:24 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.105 - - [03/Oct/2021:16:55:24 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.105 - - [03/Oct/2021:18:41:18 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.105 - - [03/Oct/2021:18:41:18 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.105 - - [03/Oct/2021:18:41:18 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.105 - - [03/Oct/2021:18:48:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.105 - - [03/Oct/2021:18:48:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.105 - - [03/Oct/2021:18:48:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.105 - - [03/Oct/2021:19:38:37 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.105 - - [03/Oct/2021:19:38:38 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 331
192.168.0.105 - - [03/Oct/2021:19:38:38 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
